series,date,price,asOfDate,stepWeek,predictedWeeklyLogReturn,anchorWeeklyLogReturn,raw1wLogReturn
history,2025-04-22,377.649994,,,,,
history,2025-04-23,392.399994,,,,,
history,2025-04-24,408.000000,,,,,
history,2025-04-25,408.250000,,,,,
history,2025-04-28,421.549988,,,,,
history,2025-04-29,412.649994,,,,,
history,2025-04-30,413.600006,,,,,
history,2025-05-01,395.700012,,,,,
history,2025-05-02,395.399994,,,,,
history,2025-05-05,398.950012,,,,,
history,2025-05-06,401.100006,,,,,
history,2025-05-07,396.200012,,,,,
history,2025-05-08,397.799988,,,,,
history,2025-05-09,397.149994,,,,,
history,2025-05-12,382.450012,,,,,
history,2025-05-13,384.850006,,,,,
history,2025-05-14,373.950012,,,,,
history,2025-05-15,384.950012,,,,,
history,2025-05-16,376.250000,,,,,
history,2025-05-19,376.149994,,,,,
history,2025-05-20,369.299988,,,,,
history,2025-05-21,370.299988,,,,,
history,2025-05-22,360.750000,,,,,
history,2025-05-23,361.000000,,,,,
history,2025-05-27,361.700012,,,,,
history,2025-05-28,351.950012,,,,,
history,2025-05-29,348.399994,,,,,
history,2025-05-30,342.450012,,,,,
history,2025-06-02,344.450012,,,,,
history,2025-06-03,340.850006,,,,,
history,2025-06-04,346.149994,,,,,
history,2025-06-05,359.750000,,,,,
history,2025-06-06,358.049988,,,,,
history,2025-06-09,361.549988,,,,,
history,2025-06-10,355.049988,,,,,
history,2025-06-11,350.649994,,,,,
history,2025-06-12,347.799988,,,,,
history,2025-06-13,349.700012,,,,,
history,2025-06-16,343.950012,,,,,
history,2025-06-17,335.850006,,,,,
history,2025-06-18,324.899994,,,,,
history,2025-06-20,319.049988,,,,,
history,2025-06-23,330.299988,,,,,
history,2025-06-24,315.350006,,,,,
history,2025-06-25,308.649994,,,,,
history,2025-06-26,309.500000,,,,,
history,2025-06-27,309.899994,,,,,
history,2025-06-30,306.750000,,,,,
history,2025-07-01,298.850006,,,,,
history,2025-07-02,297.950012,,,,,
history,2025-07-03,292.649994,,,,,
history,2025-07-04,292.649994,,,,,
history,2025-07-07,280.049988,,,,,
history,2025-07-08,287.399994,,,,,
history,2025-07-09,285.850006,,,,,
history,2025-07-10,289.899994,,,,,
history,2025-07-11,288.600006,,,,,
history,2025-07-14,305.700012,,,,,
history,2025-07-15,301.600006,,,,,
history,2025-07-16,314.549988,,,,,
history,2025-07-17,312.500000,,,,,
history,2025-07-18,308.899994,,,,,
history,2025-07-21,297.250000,,,,,
history,2025-07-22,296.350006,,,,,
history,2025-07-23,301.350006,,,,,
history,2025-07-24,304.850006,,,,,
history,2025-07-25,297.549988,,,,,
history,2025-07-28,301.700012,,,,,
history,2025-07-29,296.500000,,,,,
history,2025-07-30,293.399994,,,,,
history,2025-07-31,295.799988,,,,,
history,2025-08-01,284.200012,,,,,
history,2025-08-04,288.549988,,,,,
history,2025-08-05,298.700012,,,,,
history,2025-08-06,293.399994,,,,,
history,2025-08-07,297.799988,,,,,
history,2025-08-08,309.350006,,,,,
history,2025-08-11,320.700012,,,,,
history,2025-08-12,315.149994,,,,,
history,2025-08-13,319.600006,,,,,
history,2025-08-14,326.500000,,,,,
history,2025-08-15,341.649994,,,,,
history,2025-08-18,343.600006,,,,,
history,2025-08-19,356.200012,,,,,
history,2025-08-20,360.250000,,,,,
history,2025-08-21,375.250000,,,,,
history,2025-08-22,390.649994,,,,,
history,2025-08-25,389.950012,,,,,
history,2025-08-26,384.049988,,,,,
history,2025-08-27,393.799988,,,,,
history,2025-08-28,387.750000,,,,,
history,2025-08-29,396.850006,,,,,
history,2025-09-02,382.200012,,,,,
history,2025-09-03,385.250000,,,,,
history,2025-09-04,385.750000,,,,,
history,2025-09-05,385.600006,,,,,
history,2025-09-08,397.799988,,,,,
history,2025-09-09,393.000000,,,,,
history,2025-09-10,401.000000,,,,,
history,2025-09-11,400.049988,,,,,
history,2025-09-12,410.649994,,,,,
history,2025-09-15,432.350006,,,,,
history,2025-09-16,422.250000,,,,,
history,2025-09-17,388.549988,,,,,
history,2025-09-18,385.850006,,,,,
history,2025-09-19,366.500000,,,,,
history,2025-09-22,367.350006,,,,,
history,2025-09-23,350.149994,,,,,
history,2025-09-24,367.750000,,,,,
history,2025-09-25,371.350006,,,,,
history,2025-09-26,378.049988,,,,,
history,2025-09-29,372.200012,,,,,
history,2025-09-30,374.850006,,,,,
history,2025-10-01,383.899994,,,,,
history,2025-10-02,378.100006,,,,,
history,2025-10-03,390.750000,,,,,
history,2025-10-06,381.350006,,,,,
history,2025-10-07,375.399994,,,,,
history,2025-10-08,385.100006,,,,,
history,2025-10-09,377.250000,,,,,
history,2025-10-10,373.049988,,,,,
history,2025-10-13,385.200012,,,,,
history,2025-10-14,399.649994,,,,,
history,2025-10-15,394.899994,,,,,
history,2025-10-16,393.799988,,,,,
history,2025-10-17,397.450012,,,,,
history,2025-10-20,406.049988,,,,,
history,2025-10-21,413.549988,,,,,
history,2025-10-22,420.850006,,,,,
history,2025-10-23,410.149994,,,,,
history,2025-10-24,403.000000,,,,,
history,2025-10-27,390.100006,,,,,
history,2025-10-28,387.899994,,,,,
history,2025-10-29,390.700012,,,,,
history,2025-10-30,392.000000,,,,,
history,2025-10-31,392.049988,,,,,
history,2025-11-03,406.649994,,,,,
history,2025-11-04,405.250000,,,,,
history,2025-11-05,413.600006,,,,,
history,2025-11-06,396.750000,,,,,
history,2025-11-07,407.799988,,,,,
history,2025-11-10,414.750000,,,,,
history,2025-11-11,422.700012,,,,,
history,2025-11-12,403.649994,,,,,
history,2025-11-13,401.700012,,,,,
history,2025-11-14,399.799988,,,,,
history,2025-11-17,402.549988,,,,,
history,2025-11-18,415.350006,,,,,
history,2025-11-19,404.500000,,,,,
history,2025-11-20,406.500000,,,,,
history,2025-11-21,400.000000,,,,,
history,2025-11-24,407.450012,,,,,
history,2025-11-25,414.200012,,,,,
history,2025-11-26,411.500000,,,,,
history,2025-11-28,413.000000,,,,,
history,2025-12-01,411.500000,,,,,
history,2025-12-02,405.549988,,,,,
history,2025-12-03,403.750000,,,,,
history,2025-12-04,411.950012,,,,,
history,2025-12-05,406.250000,,,,,
history,2025-12-08,396.049988,,,,,
history,2025-12-09,394.200012,,,,,
history,2025-12-10,400.799988,,,,,
history,2025-12-11,405.450012,,,,,
history,2025-12-12,397.200012,,,,,
history,2025-12-15,387.700012,,,,,
history,2025-12-16,379.299988,,,,,
history,2025-12-17,351.899994,,,,,
history,2025-12-18,345.450012,,,,,
history,2025-12-19,340.649994,,,,,
history,2025-12-22,347.350006,,,,,
history,2025-12-23,346.950012,,,,,
history,2025-12-24,345.149994,,,,,
history,2025-12-26,350.250000,,,,,
history,2025-12-29,352.149994,,,,,
history,2025-12-30,350.200012,,,,,
history,2025-12-31,348.750000,,,,,
history,2026-01-02,357.299988,,,,,
history,2026-01-05,359.350006,,,,,
history,2026-01-06,373.850006,,,,,
history,2026-01-07,375.450012,,,,,
history,2026-01-08,372.350006,,,,,
history,2026-01-09,357.649994,,,,,
history,2026-01-12,356.049988,,,,,
history,2026-01-13,360.250000,,,,,
history,2026-01-14,356.000000,,,,,
history,2026-01-15,358.100006,,,,,
history,2026-01-16,355.299988,,,,,
history,2026-01-20,346.500000,,,,,
history,2026-01-21,347.500000,,,,,
history,2026-01-22,347.700012,,,,,
history,2026-01-23,350.899994,,,,,
history,2026-01-26,356.250000,,,,,
history,2026-01-27,367.250000,,,,,
history,2026-01-28,351.000000,,,,,
history,2026-01-29,345.500000,,,,,
history,2026-01-30,332.250000,,,,,
history,2026-02-02,333.250000,,,,,
history,2026-02-03,317.100006,,,,,
history,2026-02-04,308.649994,,,,,
history,2026-02-05,308.399994,,,,,
history,2026-02-06,296.549988,,,,,
history,2026-02-09,299.850006,,,,,
history,2026-02-10,294.200012,,,,,
history,2026-02-11,294.799988,,,,,
history,2026-02-12,299.649994,,,,,
history,2026-02-13,300.049988,,,,,
history,2026-02-17,284.600006,,,,,
history,2026-02-18,287.549988,,,,,
history,2026-02-19,287.399994,,,,,
history,2026-02-20,288.299988,,,,,
history,2026-02-23,281.149994,,,,,
history,2026-02-24,288.250000,,,,,
history,2026-02-25,288.299988,,,,,
history,2026-02-26,286.000000,,,,,
history,2026-02-27,284.600006,,,,,
history,2026-03-02,288.350006,,,,,
history,2026-03-03,286.950012,,,,,
history,2026-03-04,290.700012,,,,,
history,2026-03-05,293.000000,,,,,
history,2026-03-06,297.600006,,,,,
history,2026-03-09,301.750000,,,,,
history,2026-03-10,300.549988,,,,,
history,2026-03-11,292.000000,,,,,
history,2026-03-12,296.500000,,,,,
history,2026-03-13,290.350006,,,,,
history,2026-03-16,297.750000,,,,,
history,2026-03-17,302.049988,,,,,
history,2026-03-18,299.700012,,,,,
history,2026-03-19,306.200012,,,,,
history,2026-03-20,309.750000,,,,,
history,2026-03-23,307.000000,,,,,
history,2026-03-24,317.850006,,,,,
history,2026-03-25,316.100006,,,,,
history,2026-03-26,307.649994,,,,,
history,2026-03-27,301.700012,,,,,
history,2026-03-30,292.549988,,,,,
history,2026-03-31,298.350006,,,,,
history,2026-04-01,297.799988,,,,,
history,2026-04-02,295.399994,,,,,
history,2026-04-06,298.049988,,,,,
history,2026-04-07,286.100006,,,,,
history,2026-04-08,294.049988,,,,,
history,2026-04-09,293.700012,,,,,
history,2026-04-10,300.100006,,,,,
history,2026-04-13,300.850006,,,,,
history,2026-04-14,302.649994,,,,,
history,2026-04-15,304.250000,,,,,
history,2026-04-16,296.450012,,,,,
history,2026-04-17,289.299988,,,,,
history,2026-04-20,292.200012,,,,,
history,2026-04-21,289.000000,,,,,
history,2026-04-22,302.399994,,,,,
forecast,2026-04-29,303.126241,2026-04-22,1,0.00350979,-0.00374850,-0.00694187
forecast,2026-05-06,292.132005,2026-04-22,2,-0.03583253,-0.00403883,-0.00886442
forecast,2026-05-13,295.117834,2026-04-22,3,0.01128000,-0.00271409,-0.00122017
forecast,2026-05-20,303.658927,2026-04-22,4,0.02964146,-0.00332253,-0.00388677
forecast,2026-05-27,287.205781,2026-04-22,5,-0.05459510,-0.00482089,-0.00720742
forecast,2026-06-03,271.778978,2026-04-22,6,-0.05409876,-0.00245069,0.00459246
forecast,2026-06-10,269.336841,2026-04-22,7,-0.00791531,0.00013171,0.01087928
forecast,2026-06-17,267.528803,2026-04-22,8,-0.00562450,0.00055524,0.01270068
forecast,2026-06-24,268.312065,2026-04-22,9,0.00403454,0.00089855,0.01270068
forecast,2026-07-01,263.021633,2026-04-22,10,-0.01880339,0.00071408,0.01187733
forecast,2026-07-08,270.312069,2026-04-22,11,0.02845187,0.00193393,0.01388786
forecast,2026-07-15,280.329763,2026-04-22,12,0.03750059,0.00016606,0.00953606
forecast,2026-07-22,284.157591,2026-04-22,13,0.01467340,-0.00250069,0.00327082
forecast,2026-07-29,294.834317,2026-04-22,14,0.03799563,-0.00382177,-0.00030058
forecast,2026-08-05,301.381123,2026-04-22,15,0.02307314,-0.00730656,-0.00441246
forecast,2026-08-12,294.427972,2026-04-22,16,-0.02223020,-0.01006835,-0.00497100
forecast,2026-08-19,294.263777,2026-04-22,17,0.00055323,-0.00885216,-0.00438889
forecast,2026-08-26,284.465330,2026-04-22,18,-0.03275413,-0.00989720,-0.00472982
forecast,2026-09-02,288.318048,2026-04-22,19,0.01456388,-0.00704009,-0.00227118
forecast,2026-09-09,287.970711,2026-04-22,20,-0.00009437,-0.01012637,-0.00411604
forecast,2026-09-16,285.108158,2026-04-22,21,-0.00887911,-0.01179837,-0.00427406
forecast,2026-09-23,277.013225,2026-04-22,22,-0.02769230,-0.01238222,-0.00499311
forecast,2026-09-30,285.226381,2026-04-22,23,0.03032899,-0.00855470,0.00108533
forecast,2026-10-07,285.035235,2026-04-22,24,0.00044068,-0.02151593,-0.00473290
forecast,2026-10-14,279.673315,2026-04-22,25,-0.01787956,-0.03249423,-0.00636865
forecast,2026-10-21,274.318449,2026-04-22,26,-0.01822148,-0.04710891,-0.00353426